num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
10,2,5,46,1.2494536461140026e-05,2.339421379093931e-05,3.782193e-07,2.4957436e-07
100,2,5,46,1.1467398103494513e-05,2.1026406103796802e-05,1.5782614e-07,1.435039e-07
1000,2,5,46,2.1256223627743317e-06,3.901265689720823e-06,1.6604184e-07,1.430486e-07
10000,2,5,46,5.3467742862645685e-06,8.831007143883518e-06,1.5971756e-07,1.4293477e-07
10,2,10,141,3.204817378647162e-05,4.938244819641113e-05,2.1797042e-08,6.707139e-08
100,2,10,141,3.696899407592084e-06,7.366556334709173e-06,2.1169077e-08,1.9739412e-08
1000,2,10,141,6.970483513859068e-06,8.484409878106725e-06,2.005836e-08,1.7185926e-08
10000,2,10,141,2.255896718493169e-06,4.26173210144043e-06,1.8605641e-08,1.6769972e-08
10,2,20,481,4.9766742368040804e-05,7.417789701580357e-05,1.7344451e-08,5.0888403e-08
100,2,20,481,3.37257800966185e-06,7.778406143188477e-06,7.027707e-08,6.9192104e-08
1000,2,20,481,1.4104007335709397e-06,3.2454686159644197e-06,5.6905275e-08,4.8718064e-08
10000,2,20,481,2.341758106707023e-06,4.233423395616498e-06,5.5390856e-08,4.943734e-08
10,4,5,106,0.00028482906785158417,0.00044984953250903903,7.247514e-08,1.4454594e-06
100,4,5,106,2.8870422698392703e-05,3.353768192304596e-05,3.7119992e-08,3.871417e-08
1000,4,5,106,2.7300406181781883e-05,4.1716830014304485e-05,8.976617e-08,8.4373376e-08
10000,4,5,106,2.178617316843047e-06,4.5727823306807025e-06,7.641196e-08,6.642082e-08
10,4,10,361,5.101145529008513e-05,9.466707706451416e-05,7.0190104e-08,1.1056699e-07
100,4,10,361,2.880189156484353e-05,5.0608218681968964e-05,6.118314e-08,5.458725e-08
1000,4,10,361,2.68075288088981e-06,4.715480255601534e-06,4.9408918e-08,4.6095284e-08
10000,4,10,361,4.25782624621175e-06,5.407328450113269e-06,5.108903e-08,4.4802505e-08
10,4,20,1321,5.21486659386131e-05,8.124843636758694e-05,8.56901e-08,1.1860572e-07
100,4,20,1321,2.4954003015651234e-05,5.042552947998047e-05,7.5152215e-08,7.4241605e-08
1000,4,20,1321,3.7964058775041564e-06,6.563893246713803e-06,9.035134e-08,8.857793e-08
10000,4,20,1321,7.080410282857249e-05,0.0001281648874282837,8.449374e-08,7.8323275e-08
