seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
0,10,2,20,481,0.45548745623651127,0.49946899225652,0.000988786,37.12585
1,10,2,20,481,2.853531923125858,4.431140899658203,0.00028216917,125.46846
2,10,2,20,481,4.7590999735870625,7.138546384461664,0.14544131,301.40176
3,10,2,20,481,0.021330827231263578,0.027758035420872962,0.0030908075,0.05949186
4,10,2,20,481,0.10282421317136678,0.15025214181546676,0.0033572658,0.25015548
0,20,2,20,481,0.009862067715593838,0.018147579583038365,0.023687981,0.13699466
1,20,2,20,481,0.03255707755380395,0.06222591044829055,0.00051386526,0.2925918
2,20,2,20,481,3.9203737775747305,6.411194801330566,19.305754,38.98871
3,20,2,20,481,0.010967585629376869,0.0138862704341296,0.019297354,0.07971406
4,20,2,20,481,0.0027105080668690237,0.0034964680671694345,0.00212238,0.0025196227
0,40,2,20,481,0.0020890911977812223,0.002688189843863542,0.0019203251,0.004399958
1,40,2,20,481,0.0034211356680777186,0.004865516521789277,0.00059020345,0.00058230554
2,40,2,20,481,4.059080464677025,6.6890692710876465,18.655823,66.19402
3,40,2,20,481,0.006388260743230531,0.01024275273084665,0.0022736867,0.002671718
4,40,2,20,481,0.002446636315124911,0.003685819483458974,0.0018513263,0.002160194
0,80,2,20,481,0.0007060206065160211,0.0013371471325764883,0.0022210905,0.0018065929
1,80,2,20,481,0.006426674113713901,0.009217462330269155,0.001906691,0.0026989796
2,80,2,20,481,3.804564571260063,6.142092227935791,14.779774,26.332891
3,80,2,20,481,0.0030962069754145237,0.00486057492547895,0.0016912896,0.0013940415
4,80,2,20,481,0.0020688224116927286,0.0026143581503720315,0.0021785998,0.0019389134
0,160,2,20,481,0.003003483884939719,0.004432578424073741,0.005030531,0.0038860869
1,160,2,20,481,0.004520501494221964,0.006687898029351574,0.005243172,0.0045406413
2,160,2,20,481,0.00035266574069895405,0.00056192278862024,0.0018546763,0.0021586358
3,160,2,20,481,0.0015435308062346222,0.0021852605365622058,0.00086678227,0.000708745
4,160,2,20,481,0.0022900371631956636,0.003110704017246113,0.001789237,0.0016279989
0,320,2,20,481,0.0005460391806525108,0.0009839735347463704,0.0025388827,0.001785695
1,320,2,20,481,0.0017212181376876497,0.0024561460489604947,0.0052448497,0.00447806
2,320,2,20,481,0.0019378252354378708,0.0028077661991121835,0.0016041354,0.001122755
3,320,2,20,481,5.4838722933314516e-05,0.0001347265559866048,0.000697394,0.00057750003
4,320,2,20,481,0.0015620028902268981,0.0023182574291002248,0.001315697,0.0011662103
0,640,2,20,481,0.0002841688868282336,0.0005156073310252918,0.0070286794,0.0059083807
1,640,2,20,481,0.0003600711544538219,0.0008034082445981527,0.0054726647,0.004732767
2,640,2,20,481,0.00038041101150732427,0.0006174240950466148,0.0005221776,0.0003908907
3,640,2,20,481,0.00025580738498378046,0.00036451220512365645,0.0007868971,0.00064579136
4,640,2,20,481,0.00021544516403332448,0.0003418866176378224,0.001793182,0.0014067336
0,10,4,10,361,0.6766625719313825,0.7378807712873002,0.001107284,72.36573
1,10,4,10,361,0.43629558552525394,0.7908822298049927,1.9376713,11.902245
2,10,4,10,361,0.3969659091247241,0.6297410678571672,0.052001204,73.86265
3,10,4,10,361,0.0030396287107105693,0.006492257118225342,0.00070656,0.025918018
4,10,4,10,361,0.18503958850951763,0.2728736102581022,0.00083781034,0.76290953
0,20,4,10,361,0.7011096932767112,0.7710315685385014,0.0013318283,57.46404
1,20,4,10,361,0.373885262975416,0.5213701128959654,0.03341885,0.57117623
2,20,4,10,361,1.0720230238496242,2.2735316753387447,1.7299882,3.7364717
3,20,4,10,361,0.013488315158618884,0.02395660430192972,0.0014935925,0.021884032
