seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
0,10,2,20,481,0.007525946183960758,0.012792358719565118,1.108646e-05,0.009468642
1,10,2,20,481,0.0036135198178686117,0.0071838498115542,0.00013449935,0.053643357
2,10,2,20,481,0.006496076832310885,0.010915736281134332,3.1774183e-05,0.0059744488
3,10,2,20,481,0.003776734558364628,0.006286298619372868,1.1252414e-05,0.0019599495
4,10,2,20,481,0.006398902980278083,0.010735114558515425,2.162095e-05,0.0063738227
0,20,2,20,481,0.00040467858848573606,0.0006794533570383746,1.3588914e-05,4.780209e-05
1,20,2,20,481,0.0007010710576089233,0.0012055598199369973,7.477479e-05,0.00020243406
2,20,2,20,481,0.0002912424113935098,0.0005026260249392633,2.3346192e-05,6.92896e-05
3,20,2,20,481,0.0002210771968324195,0.0003804266452791756,1.8899776e-06,1.22539095e-05
4,20,2,20,481,0.0002197770961899694,0.00034501960135381593,7.995782e-06,1.998947e-05
0,40,2,20,481,0.00011506841691695623,0.00017623775450777146,1.2709222e-05,1.2931123e-05
1,40,2,20,481,0.0003846795853615686,0.0006916243582966393,0.00016493889,0.00014936646
2,40,2,20,481,7.584472410575444e-05,0.00011275204346343319,1.2997998e-05,1.3579253e-05
3,40,2,20,481,6.973695579835771e-05,0.00011722239182158749,4.4656194e-06,4.7969115e-06
4,40,2,20,481,7.534840865506423e-05,0.0001252242537436686,4.083549e-06,3.9810147e-06
0,80,2,20,481,8.176205377964348e-05,0.00013626923418920411,1.7336586e-05,1.4386939e-05
1,80,2,20,481,0.0002853248568492253,0.0004908070200845549,0.00017572903,0.00013133977
2,80,2,20,481,4.883693738018086e-05,8.415987349431886e-05,1.3998184e-05,1.17002355e-05
3,80,2,20,481,4.035754429035347e-05,6.968785460254034e-05,4.981773e-06,4.092361e-06
4,80,2,20,481,4.784225242421547e-05,8.602330009871428e-05,5.0890353e-06,4.0912787e-06
0,160,2,20,481,4.969482966030797e-05,8.334576036964081e-05,1.6665828e-05,1.3132582e-05
1,160,2,20,481,0.00020293591982922468,0.000343034886883975,0.00018857469,0.00013420258
2,160,2,20,481,3.4490132430502006e-05,5.91259226886548e-05,1.6799595e-05,1.3556507e-05
3,160,2,20,481,2.7081271201992477e-05,4.8516295918635266e-05,5.6490244e-06,4.341337e-06
4,160,2,20,481,3.123970438016181e-05,5.273199090601033e-05,6.685966e-06,5.105113e-06
0,320,2,20,481,2.6377065644137317e-05,5.052506742475593e-05,1.6316775e-05,1.2666428e-05
1,320,2,20,481,0.00013942097930003813,0.0002345434914490241,0.00020254512,0.00014512026
2,320,2,20,481,2.434657472228316e-05,4.05279398882491e-05,1.8180635e-05,1.4637074e-05
3,320,2,20,481,1.513264249528014e-05,2.5938045337403626e-05,5.6652843e-06,4.237409e-06
4,320,2,20,481,2.4644002352130853e-05,3.6694749447563346e-05,8.854381e-06,6.7859933e-06
0,640,2,20,481,1.5381890298331125e-05,2.796470937727058e-05,1.5904747e-05,1.2333179e-05
1,640,2,20,481,9.804940693749607e-05,0.00016660712097907315,0.00020539104,0.0001488069
2,640,2,20,481,1.9995695347146257e-05,4.474331076403937e-05,2.1145443e-05,1.732252e-05
3,640,2,20,481,8.86946207436857e-06,1.2670834980965662e-05,5.6870385e-06,4.223746e-06
4,640,2,20,481,1.354085398728213e-05,2.2012955524397526e-05,1.0414769e-05,8.114675e-06
0,10,4,10,361,0.8585258159396991,1.2093193531036375,0.14618517,0.24839301
1,10,4,10,361,0.10633736481377308,0.13684278726577734,0.0036554635,0.030913362
2,10,4,10,361,0.021030667899884274,0.035040795803069825,0.0002485659,0.04266346
3,10,4,10,361,0.0068402949163400735,0.011110851824782983,0.00029579387,0.0054390775
4,10,4,10,361,1.6876458177455103,2.9166047573089595,1.7591954,1.761641
0,20,4,10,361,2.6595762159704803e-05,4.1255964176631355e-05,1.4663455e-05,8.3219194e-05
1,20,4,10,361,0.0003480672429503244,0.0005936152179812151,1.0044218e-05,5.4458054e-05
2,20,4,10,361,5.920779253415087e-05,0.0001196563476487944,1.190629e-05,3.5451936e-05
3,20,4,10,361,0.0003355868808575255,0.0005620666425989055,3.943807e-06,2.6661879e-05
