problem,level,num_domain,num_boundary,total_error_median,total_error_mean,total_error_min,total_error_max
heat,1,10,4,0.0921905947555539,0.09431082213071143,0.06444200178322759,0.13518318110812802
heat,2,80,16,0.011325889019819974,0.011549411823331364,0.009652670423817448,0.013582902617060848
heat,4,640,64,0.0031518930892146945,0.003391598011641371,0.0018822393905015048,0.0049617499950738355
heat,8,5120,256,0.0032676255351333405,0.0034031982563977937,0.0019386896152692888,0.004722474886622751
mono,1,10,4,0.5533640667085182,0.5686447871775732,0.5435110085371156,0.6146592357387483
mono,2,80,16,0.07454241442051539,0.08313668089156623,0.0654764498421466,0.10444379800108469
mono,4,640,64,0.03527947170926045,0.03853671761302734,0.030905300186387066,0.05486539328153437
mono,8,5120,256,0.036923217973448816,0.035506777035231786,0.029619951318938822,0.03834615402570041
