problem,level,num_domain,num_boundary,total_error_median,total_error_mean,total_error_min,total_error_max
heat,1,10,4,0.10357348113475755,0.0965106884150148,0.06444200178322759,0.13518318110812802
heat,2,80,16,0.024803027135858427,0.02415920305816264,0.01723168808704176,0.030162000918674395
heat,4,640,64,0.015430179895356949,0.014319279000641946,0.00855212971425275,0.019955863750300715
heat,8,5120,256,0.014517063247856465,0.014238354315782974,0.0067759748144601804,0.026680489947865812
mono,1,10,4,0.5533640667085182,0.5686447871775732,0.5435110085371156,0.6146592357387483
mono,2,80,16,0.18555191061550252,0.18501039762923316,0.09945748626205429,0.2653888542025338
mono,4,640,64,0.10696910636742474,0.13776229375972276,0.07916497032815363,0.24054468973552767
mono,8,5120,256,0.12051921359449456,0.15589201124294727,0.06432122155276435,0.26394039639828076
