problem,seed,level,num_domain,num_boundary,total_error
mono,0,1,10,4,0.5867585781823315
mono,1,1,10,4,0.5449310467211526
mono,2,1,10,4,0.6146592357387483
mono,3,1,10,4,0.5533640667085182
mono,4,1,10,4,0.5435110085371156
mono,0,2,80,16,0.18555191061550252
mono,1,2,80,16,0.09945748626205429
mono,2,2,80,16,0.2653888542025338
mono,3,2,80,16,0.1974968033982609
mono,4,2,80,16,0.17715693366781424
mono,0,4,640,64,0.24054468973552767
mono,1,4,640,64,0.08922681001992593
mono,2,4,640,64,0.07916497032815363
mono,3,4,640,64,0.17290589234758177
mono,4,4,640,64,0.10696910636742474
mono,0,8,5120,256,0.26394039639828076
mono,1,8,5120,256,0.10546315116829787
mono,2,8,5120,256,0.06432122155276435
mono,3,8,5120,256,0.22521607350089887
mono,4,8,5120,256,0.12051921359449456
heat,0,1,10,4,0.10357348113475755
heat,1,1,10,4,0.13518318110812802
heat,2,1,10,4,0.06444200178322759
heat,3,1,10,4,0.10811650609882785
heat,4,1,10,4,0.07123827195013295
heat,0,2,80,16,0.024858823482760698
heat,1,2,80,16,0.030162000918674395
heat,2,2,80,16,0.01723168808704176
heat,3,2,80,16,0.023740475666477908
heat,4,2,80,16,0.024803027135858427
heat,0,4,640,64,0.019955863750300715
heat,1,4,640,64,0.017368442839422966
heat,2,4,640,64,0.00855212971425275
heat,3,4,640,64,0.010289778803876356
heat,4,4,640,64,0.015430179895356949
heat,0,8,5120,256,0.026680489947865812
heat,1,8,5120,256,0.016009958145562973
heat,2,8,5120,256,0.00720828542316944
heat,3,8,5120,256,0.014517063247856465
heat,4,8,5120,256,0.0067759748144601804
