seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
0,10,4,20,1321,0.5235141099194515,0.5753846833549964,2.5491054e-05,53.40475
1,10,4,20,1321,0.3267660779240609,0.5269930373393055,6.577125e-07,63.921688
2,10,4,20,1321,0.7741637522551469,1.1156882245845634,1.5898653e-06,43.25488
3,10,4,20,1321,1.4112574243310425,1.9942974052745535,4.0660066e-07,39.14831
4,10,4,20,1321,0.20171720276075525,0.24325250301605972,0.000115059,6.332425
0,20,4,20,1321,0.000596861,0.001266366,0.000557206,0.002089465
1,20,4,20,1321,0.4922336183594512,0.7314922114975675,5.305829e-06,7.7207007
2,20,4,20,1321,0.6082473702849661,0.9971024990081785,8.161987e-07,11.08978
3,20,4,20,1321,0.14617114866314904,0.2172688934583437,2.799899e-06,0.48604548
4,20,4,20,1321,0.052045465,0.063445218,8.424101e-05,0.16360493
0,40,4,20,1321,0.000786959,0.000914144,1.7400507e-05,0.000190914
1,40,4,20,1321,0.000606307,0.000858779,1.161064e-05,4.496003e-05
2,40,4,20,1321,0.7336831949894428,1.2099480628967283,4.337072e-05,17.452063
3,40,4,20,1321,0.000154199,0.000222802,1.0376216e-05,1.8465631e-05
4,40,4,20,1321,0.001430288,0.001669905,9.503262e-06,0.000176599
0,80,4,20,1321,0.000127599,0.000174557,1.776946e-05,1.3240499e-05
1,80,4,20,1321,0.000482669,0.000611609,1.25406505e-05,2.0959365e-05
2,80,4,20,1321,0.00048588,0.000675129,7.4519003e-06,1.8451197e-05
3,80,4,20,1321,9.659927939351112e-05,0.000164504,7.937891e-06,1.6448977e-05
4,80,4,20,1321,2.2705564513684452e-05,4.2597376562798425e-05,1.7520651e-06,2.3390105e-06
0,160,4,20,1321,0.000229774,0.000313381,2.4567393e-05,1.936843e-05
1,160,4,20,1321,4.363616686128564e-05,6.62706453872508e-05,7.820869e-06,6.602878e-06
2,160,4,20,1321,0.000199986,0.000308319,1.9393656e-05,1.7962451e-05
3,160,4,20,1321,0.000151678,0.000207209,6.3900816e-06,8.383314e-06
4,160,4,20,1321,3.0283970887541835e-05,3.7046870032142465e-05,4.1837793e-06,3.535767e-06
0,320,4,20,1321,3.0408260750744812e-05,4.388570178799622e-05,1.2468214e-05,6.6007487e-06
1,320,4,20,1321,2.4478523848943978e-05,3.369761653404524e-05,8.160692e-06,7.0671576e-06
2,320,4,20,1321,3.293576873315624e-05,7.030670654273319e-05,3.8792226e-05,3.5513673e-05
3,320,4,20,1321,8.296136234890888e-06,1.8960983529270337e-05,7.993086e-06,1.0010079e-05
4,320,4,20,1321,3.055748254118486e-05,5.0986148811528464e-05,1.0265702e-05,8.153456e-06
0,640,4,20,1321,9.857551059237604e-06,1.555193598529181e-05,9.648278e-06,6.667464e-06
1,640,4,20,1321,7.505436642165197e-06,1.634377428572087e-05,1.2676861e-05,9.850748e-06
