num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
10,2,5,46,0.05251396214717456,0.09980187794383029,0.00049599,0.5841339
100,2,5,46,0.0015665818937980113,0.002487895596981371,0.0024602509,0.0024158345
1000,2,5,46,6.051388212321049e-05,9.80593841836833e-05,0.00014388381,0.0001172627
10000,2,5,46,5.7790967159895655e-05,0.00010151218069520684,0.0002018787,0.00016208572
10,2,10,141,0.013920829341691799,0.02026355513883782,4.6975333e-06,0.0065534622
100,2,10,141,0.000926107176834181,0.0016282265720073547,7.0866154e-05,0.00010363832
1000,2,10,141,0.00011634288129939764,0.00017839180552309264,8.38459e-05,7.4107535e-05
10000,2,10,141,0.00020340485884811916,0.0003539686736766662,0.00011931376,0.00011512051
10,2,20,481,0.09320289338626636,0.10466798843693004,4.625462e-05,1.9206569
100,2,20,481,0.0006544551959001369,0.001046996529880606,0.00085501175,0.0009132153
1000,2,20,481,3.96831375158972e-05,6.766129668017706e-05,1.0882807e-05,9.687109e-06
10000,2,20,481,0.00046524448164523744,0.0010410696268084115,0.00028535706,0.00028494865
10,4,5,106,3.0672977160732553,4.717648682632834,0.00092396,220.23416
100,4,5,106,0.00011719613246203741,0.0001607381585621015,1.9525374e-05,1.6424694e-05
1000,4,5,106,8.76761653428175e-05,0.00014438898110952225,6.1626095e-05,4.7149933e-05
10000,4,5,106,4.82127425230527e-05,8.95974927190013e-05,0.00011013265,9.407952e-05
10,4,10,361,0.4082327684926964,0.6102542671937715,4.039387e-05,3.768955
100,4,10,361,0.00034223840624421185,0.0009066188940780824,0.00020661335,0.00020190496
1000,4,10,361,0.00027441471290450887,0.0007135234773156578,0.000105943196,0.00010299243
10000,4,10,361,9.549066318028849e-05,0.00020058484126139753,4.4891898e-05,3.599026e-05
10,4,20,1321,0.3054207751455067,0.5541549720447825,8.364514e-07,6.736719
100,4,20,1321,0.0008805215813032393,0.0011612176895144052,0.00030075648,0.00026059375
1000,4,20,1321,0.001089932796189647,0.0024710120633246965,0.001465452,0.0014946976
10000,4,20,1321,8.27532856231228e-05,0.0001456737518310547,8.327582e-05,6.661872e-05
