num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2_median,err_l2_mean,err_l2_min,err_l2_max,err_inf_median,err_inf_mean,err_inf_min,err_inf_max,loss_train_median,loss_train_mean,loss_train_min,loss_train_max,loss_test_median,loss_test_mean,loss_test_min,loss_test_max
10,2,20,481,3.816662146340403e-05,0.0001390254856852474,1.832148390726081e-05,0.0004613583292624,5.852788590177127e-05,0.00021966551939503376,2.8639532146379487e-05,0.0007379271167988,2.7980741e-08,1.2694520068e-07,5.110848e-09,4.886078e-07,1.2605807e-07,1.2576622459999999e-06,9.254925e-08,3.7665834e-06
10,4,10,361,2.720367414806808e-05,9.03951993502944e-05,1.385968085997852e-05,0.0002925359951901,5.066308039980427e-05,0.0001310931142392728,2.060670103565254e-05,0.000435067418855,9.3926396e-08,8.559237480000001e-08,2.373846e-08,1.4220626e-07,1.509433e-07,4.48537834e-07,1.1580067e-07,1.4596067e-06
10,4,20,1321,8.07333783485553e-05,0.00032591064629473377,1.769972515367859e-05,0.0012974385089254,0.0001188255309789,0.0005009756132715654,2.381261082429198e-05,0.0019887053976179,6.8865184e-08,8.06800358e-08,1.7863941e-08,1.5484498e-07,4.043207e-07,4.315682535999999e-06,7.781233e-08,1.9801346e-05
20,2,20,481,8.52951188087223e-06,1.0090525620304055e-05,2.791335444751198e-06,2.299187882709141e-05,1.4812253894880278e-05,1.704649522182855e-05,5.562008392967499e-06,3.069402261768328e-05,3.8943764e-08,6.09510005e-08,1.34266065e-08,1.5923703e-07,5.2196945e-08,1.0703943259999999e-07,2.1360192e-08,3.5033565e-07
20,4,10,361,2.920408934082159e-05,2.9711878287192124e-05,1.5871298747054863e-05,4.5120891117332514e-05,4.5442788891292274e-05,4.607364875317543e-05,2.055972717984744e-05,6.937980651855469e-05,1.0671185e-07,9.63858448e-08,3.8575962e-08,1.230051e-07,1.3575811e-07,1.589553288e-07,1.02321664e-07,2.4429374e-07
20,4,20,1321,1.3750862855695972e-05,1.647709926346658e-05,2.2395686172877643e-06,3.4315814976825174e-05,2.531451703080556e-05,2.732755041621182e-05,4.355889606011409e-06,5.2341460789917527e-05,6.4715316e-08,7.877548960000001e-08,4.4150042e-08,1.5226753e-07,1.0957268e-07,1.3966808139999999e-07,4.273601e-08,3.6773181e-07
40,2,20,481,7.777354192322648e-06,1.3747776699249967e-05,3.126600475765437e-06,3.9662334517276286e-05,1.0788440704345705e-05,2.4516616486836007e-05,5.981786967201863e-06,7.821619510650635e-05,3.5158703e-08,6.36638826e-08,1.694124e-08,1.750285e-07,3.487427e-08,9.646426899999999e-08,1.3970131e-08,3.432409e-07
40,4,10,361,1.145969843256619e-05,1.9111535324304898e-05,3.915462754878959e-06,3.5907481723585e-05,1.746709423056103e-05,3.0209314327289682e-05,8.028957871775155e-06,6.67572021484375e-05,9.3008666e-08,9.01606786e-08,3.9932008e-08,1.425482e-07,1.0110879e-07,1.0175699100000001e-07,7.737527e-08,1.4063461e-07
40,4,20,1321,1.842647572030216e-05,2.4266400335115394e-05,6.028575666120164e-06,4.8051243794357536e-05,2.429246805890628e-05,3.6946119991121404e-05,1.0547649255010503e-05,7.39136347891467e-05,7.137918e-08,8.33519946e-08,5.7378873e-08,1.5301536e-07,7.135313e-08,1.1357954e-07,5.345951e-08,3.1366656e-07
80,2,20,481,9.94689071354207e-06,9.275270534643898e-06,3.150111046454155e-06,1.6414456079686976e-05,1.5017820204410448e-05,1.4314923192904061e-05,5.44968975835225e-06,2.392730616496141e-05,5.5285827e-08,6.45495672e-08,6.348829e-09,1.727972e-07,5.435712e-08,7.776205099999999e-08,6.147646e-09,2.4752518e-07
80,4,10,361,1.1943821136303656e-05,1.8272035835894142e-05,7.730267113861175e-06,4.208583278265313e-05,1.974836214790887e-05,2.471512669925957e-05,1.2429937877311836e-05,5.229204989687375e-05,9.647627e-08,1.0495655620000001e-07,4.2525087e-08,1.713388e-07,8.499071e-08,9.9339325e-08,5.3820195e-08,1.7117054e-07
80,4,20,1321,1.2145309939264788e-05,1.450167262043336e-05,5.162286726795175e-06,2.784779945550456e-05,1.911082263827968e-05,2.1353887346520217e-05,1.1432765948615751e-05,3.411412988729712e-05,5.6107595e-08,8.08610874e-08,5.5709922e-08,1.5877238e-07,5.8912857e-08,8.86114304e-08,4.975824e-08,2.1855217e-07
160,2,20,481,4.733610654428136e-06,6.155042687689598e-06,1.2445659134071584e-06,1.5547627423490572e-05,7.838094195133927e-06,1.0670062592343932e-05,2.6290256985861404e-06,2.847729292965173e-05,2.2489736e-08,6.00085154e-08,8.672122e-09,1.6583029e-07,1.9870521e-08,6.2580282e-08,8.277129e-09,1.8556642e-07
160,4,10,361,5.9812150783250365e-06,7.139975504420637e-06,2.1329837795845598e-06,1.8129594387944075e-05,8.95261479583187e-06,1.1254846419062048e-05,4.2210292595656895e-06,2.530217170715332e-05,8.002763e-08,9.400961880000001e-08,4.081798e-08,1.4465533e-07,7.730399e-08,8.568813920000001e-08,4.290777e-08,1.3117355e-07
160,4,20,1321,5.725489377305913e-06,7.649836085152582e-06,2.8635562214458272e-06,1.9657676808974392e-05,8.586618074346575e-06,1.2799558834730717e-05,5.4412932773972855e-06,3.3721327781677246e-05,6.2416596e-08,8.064079480000001e-08,5.313739e-08,1.5061326e-07,5.728285e-08,7.9589031e-08,5.3146415e-08,1.7000205e-07
320,2,20,481,6.048757625840882e-06,6.549662621344414e-06,1.6802930936285589e-06,1.394153850739994e-05,8.448750929201942e-06,1.1143500785526506e-05,3.304416601790372e-06,2.612173557281494e-05,2.3745887e-08,5.6097516900000004e-08,7.8604785e-09,1.375534e-07,2.02407e-08,5.19544278e-08,7.268879e-09,1.2895046e-07
320,4,10,361,5.9641174857553e-06,7.196204042698137e-06,4.011658179700109e-06,1.1867234762764306e-05,9.81320054149748e-06,1.1161037128482043e-05,6.011044113907182e-06,1.6183528715796314e-05,8.3605045e-08,9.667793099999999e-08,4.026256e-08,1.6617287e-07,8.1219866e-08,8.98667132e-08,3.681184e-08,1.5223682e-07
320,4,20,1321,4.827687774180123e-06,6.198357493089611e-06,1.8276813612591969e-06,1.329347752348344e-05,9.13053654416629e-06,9.817293823721763e-06,3.50280213268217e-06,1.6704543308265762e-05,5.8239678e-08,7.56140716e-08,5.395658e-08,1.4698611e-07,5.8291096e-08,7.1968162e-08,4.7742404e-08,1.4058291e-07
640,2,20,481,4.511866900101277e-06,3.8067566875137134e-06,1.5138381787614335e-06,6.069684588366273e-06,6.897829343932571e-06,6.8960169800735825e-06,3.017560931350971e-06,1.1719026016709932e-05,2.3516408e-08,5.70741812e-08,8.338796e-09,1.4367413e-07,1.9756545e-08,5.0812477e-08,7.387615e-09,1.2963638e-07
640,4,10,361,7.316979750950694e-06,6.368138775614575e-06,2.208847810618688e-06,1.1141593028314773e-05,1.0291072942592017e-05,9.016049944876591e-06,3.352531547484716e-06,1.3174834664564372e-05,8.553294e-08,9.6757132e-08,4.047463e-08,1.6668838e-07,7.5827614e-08,8.6831911e-08,3.644749e-08,1.4903003e-07
640,4,20,1321,5.875311554060003e-06,6.883190569651112e-06,1.1801176511309086e-06,1.5757440796242577e-05,1.0859481656910752e-05,1.0552211905667797e-05,2.333383986252713e-06,2.2332634677990623e-05,6.05725e-08,7.61605458e-08,4.8087596e-08,1.5510263e-07,5.4559322e-08,6.9203236e-08,4.3162146e-08,1.4141843e-07
