seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
0,10,2,20,481,1.8321483907260812e-05,2.8639532146379487e-05,5.110848e-09,1.2605807e-07
1,10,2,20,481,0.0004613583292624831,0.0007379271167988755,7.6699544e-09,3.7665834e-06
2,10,2,20,481,0.00013943195026825254,0.00022055920296071285,4.886078e-07,2.1894466e-06
3,10,2,20,481,3.78490435249722e-05,5.267385916751799e-05,1.0535666e-07,1.1367391e-07
4,10,2,20,481,3.816662146340403e-05,5.852788590177127e-05,2.7980741e-08,9.254925e-08
0,20,2,20,481,2.299187882709141e-05,3.069402261768328e-05,2.9384022e-08,2.1360192e-08
1,20,2,20,481,7.008399909821737e-06,1.2074150639640457e-05,1.34266065e-08,5.2196945e-08
2,20,2,20,481,8.52951188087223e-06,2.2090040563971236e-05,1.5923703e-07,3.5033565e-07
3,20,2,20,481,9.131502038983701e-06,1.4812253894880278e-05,6.376358e-08,7.027151e-08
4,20,2,20,481,2.791335444751198e-06,5.562008392967499e-06,3.8943764e-08,4.1032866e-08
0,40,2,20,481,3.1266004757654366e-06,5.981786967201863e-06,1.694124e-08,1.3970131e-08
1,40,2,20,481,5.445886050225139e-06,8.255159894221542e-06,2.243245e-08,2.7605584e-08
2,40,2,20,481,3.9662334517276286e-05,7.821619510650635e-05,1.750285e-07,3.432409e-07
3,40,2,20,481,1.2726708260660334e-05,1.934149976190458e-05,6.875852e-08,6.263046e-08
4,40,2,20,481,7.777354192322648e-06,1.0788440704345703e-05,3.5158703e-08,3.487427e-08
0,80,2,20,481,3.150111046454155e-06,5.44968975835225e-06,6.348829e-09,6.147646e-09
1,80,2,20,481,5.2550233519467476e-06,8.497336560941982e-06,2.097408e-08,2.1127255e-08
2,80,2,20,481,9.94689071354207e-06,2.3927306164961415e-05,1.727972e-07,2.4752518e-07
3,80,2,20,481,1.6414456079686976e-05,1.868246327585421e-05,6.73419e-08,5.9653054e-08
4,80,2,20,481,1.1609871481589535e-05,1.5017820204410448e-05,5.5285827e-08,5.435712e-08
0,160,2,20,481,4.733610654428136e-06,7.994138530476036e-06,8.672122e-09,8.277129e-09
1,160,2,20,481,1.2445659134071584e-06,2.6290256985861404e-06,2.2416135e-08,1.9870521e-08
2,160,2,20,481,1.5547627423490572e-05,2.8477292929651732e-05,1.6583029e-07,1.8556642e-07
3,160,2,20,481,4.400700364797548e-06,7.838094195133927e-06,8.0634294e-08,8.072577e-08
4,160,2,20,481,4.848709082324575e-06,6.411761607871824e-06,2.2489736e-08,1.846157e-08
0,320,2,20,481,2.1385146649277202e-06,4.060900875346718e-06,7.8604785e-09,7.268879e-09
1,320,2,20,481,1.394153850739994e-05,2.612173557281494e-05,2.3745887e-08,1.980723e-08
