num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2_median,err_l2_mean,err_l2_min,err_l2_max,err_inf_median,err_inf_mean,err_inf_min,err_inf_max,loss_train_median,loss_train_mean,loss_train_min,loss_train_max,loss_test_median,loss_test_mean,loss_test_min,loss_test_max
10,2,20,481,0.2587306089209793,1.6958873327312702,0.0005868415614365,5.013981936981254,0.2799082311459022,2.55125838187653,0.0016296857462954,7.512886524200439,2.3134276e-06,2.4530748639999997e-06,1.4940902e-07,6.3930056e-06,15.915344,99.81149315489999,0.0050683445,315.49802
10,4,10,361,0.5213162138253675,0.42239000025112955,0.0201287168399927,0.8524826949264319,0.7171515489046635,0.5827159546117392,0.0332323186677263,1.2310305509960262,2.5077768e-06,4.3623093734e-05,1.5050774e-07,0.00020817154,10.553924,29.418339251199995,0.024023456,71.350494
10,4,20,1321,0.5234682301839757,0.6386169258967678,0.1574291447896132,1.4112574243310425,0.5753052035360774,0.8850271993023513,0.2128521257772567,1.9942974052745532,1.0023205e-06,1.194644832e-06,4.0660066e-07,2.3167252e-06,43.25488,41.22120134,6.3694887,63.921688
20,2,20,481,0.0155967792627096,0.9218183598760679,0.0011520287192933,4.568115905681968,0.0171952149708842,1.495849770960342,0.001870681390328,7.414951801300049,2.4684856e-05,0.0050990336062,9.46002e-06,0.025392914,0.029721396,111.029923124442,0.00013729621,555.0433
20,4,10,361,0.0133030140451378,0.5171954113864619,0.0031749456722866,1.942198435762682,0.015890741757654,0.7858746522712368,0.0083092382036225,3.2187609672546382,2.5862886e-05,2.6427007400000002e-05,3.838352e-06,5.128795e-05,0.029238846,38.0683486114,0.00908729,133.01823
20,4,20,1321,0.146171148663149,0.26743635926810194,0.0421758541677073,0.6081674229684727,0.2172688934583437,0.40983885960851946,0.0460366635461049,0.9971134662628172,1.1499581e-05,1.2925743200000001e-05,2.799899e-06,2.434752e-05,0.48604548,3.9435524640000006,0.17351873,11.096799
40,2,20,481,0.0003606742706125,1.0847174194034275,0.0001679971227578,5.422192086813625,0.000514590615552,1.79559122204255,0.0002324167000389,8.97607421875,2.8250603e-05,0.0007699182734,1.3681098e-05,0.003762896,8.692011e-05,200.2916334145082,2.0815485e-05,1001.45734
40,4,10,361,0.0009281151254789,0.5892995257796032,4.823221412397402e-05,2.940538437676099,0.0013367674277788,0.976420651543442,8.255249377009388e-05,4.874661922454834,9.071001e-05,6.44382775e-05,1.21389485e-05,0.00011394275,0.00074799283,63.493178039688,2.017998e-05,317.46292
40,4,20,1321,0.0007869592237391,0.14734290683943932,0.0001541985210088,0.7336831949894428,0.0009141439430491,0.24273269437376982,0.000222802405489,1.2099480628967283,1.0376216e-05,1.7770225800000003e-05,8.200424e-06,4.337072e-05,0.00017659874,3.4904990477621993,1.8465631e-05,17.452063
80,2,20,481,0.0002692941817099,0.00031350712622447996,0.0001220875878497,0.000569146894166,0.0003269625951315,0.00044388010159336,0.0001908279150076,0.0008267377070072,1.7174354e-05,1.91901334e-05,7.780142e-06,3.3546778e-05,2.3990762e-05,2.87600859e-05,1.30099015e-05,4.6803714e-05
