num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
10,2,5,46,0.004495049667419135,0.007424035751232849,0.004008981,0.039694563
100,2,5,46,0.004437651509475272,0.005556128919124359,0.0014432223,0.002026696
1000,2,5,46,3.777964447222192,6.501425266265869,1.0897837,0.968696
10000,2,5,46,0.0002248012888939768,0.00040516629815101624,0.0012794101,0.0010493258
10,2,10,141,0.10956173621820088,0.17187637090683008,1.6392642e-06,0.26001304
100,2,10,141,0.0013838854224325293,0.0022120774024888823,0.0007368062,0.00060073385
1000,2,10,141,0.0035276257039995513,0.006575420498848206,0.007221051,0.006051432
10000,2,10,141,0.0010794526158018189,0.0017465208083626005,0.0030444714,0.0022145673
10,2,20,481,0.016215589827486398,0.02747705941311951,0.02675124,0.23158443
100,2,20,481,0.0028055386284224623,0.004183610254994363,0.0012014192,0.0011018822
1000,2,20,481,0.0005065910549750534,0.001126997172832734,0.0010093943,0.000737967
10000,2,20,481,0.0001324355227549115,0.00019315832689903445,0.000577954,0.0004216495
10,4,5,106,2.8776453016606838,5.407837867736816,2.9949324,118.215706
100,4,5,106,2.929116201225799,5.519898414611816,5.735533,3.981383
1000,4,5,106,2.9319269627359636,5.529869079589844,4.3308864,3.9890149
10000,4,5,106,2.926620320133669,5.519222259521484,4.444687,4.0087504
10,4,10,361,1.589115809018584,2.8126757144927974,1.5884423,4.237736
100,4,10,361,0.00030936388874055196,0.000517430218655246,0.00080255466,0.0008528639
1000,4,10,361,0.00035056361292657465,0.0005013919959071522,0.00015224067,0.00013485979
10000,4,10,361,0.00028497511935918923,0.0004972714203834716,0.0004659233,0.00040379376
10,4,20,1321,0.7034004933776351,1.0672743320465086,0.059474498,9.715006
100,4,20,1321,0.000307331181293589,0.00041059777140641863,0.00017170234,9.856013e-05
1000,4,20,1321,0.0005023578890475043,0.0008142030134442868,0.00048264622,0.00033184703
10000,4,20,1321,0.0003116320298292553,0.0005485218745231446,0.00025335088,0.0001697335
