seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
0,10,2,20,481,0.28892459872622106,0.3137649238852358,0.009631485,18.33573
1,10,2,20,481,2.8918592497480566,4.490391591994123,0.0004935901,129.04701
2,10,2,20,481,4.852728041262995,7.250743852786703,0.092591025,305.15796
3,10,2,20,481,0.001323184921459168,0.0031286091190145396,3.3351716e-06,0.003481306
4,10,2,20,481,0.008506732945665252,0.010470596433452606,0.0011767895,0.02942008
0,20,2,20,481,0.001566960393044282,0.0019168159802530962,5.144753e-05,0.0027954155
1,20,2,20,481,0.021925800526196665,0.03808037191629434,0.003106246,0.062032033
2,20,2,20,481,3.93557375736458,6.429961681365967,17.575478,40.317204
3,20,2,20,481,0.0029307816939848986,0.005791811250218562,0.00031980936,0.009220229
4,20,2,20,481,0.0014072059296746614,0.0022631965697239576,5.6365658e-05,0.00015446538
0,40,2,20,481,0.0006894454614496525,0.0008949303139007547,0.00028216443,0.00031091238
1,40,2,20,481,0.0003782885889630799,0.0005915382329094165,1.7749817e-05,5.425337e-05
2,40,2,20,481,4.095139141647112,6.736911773681641,15.827287,72.81333
3,40,2,20,481,0.00017062523022840873,0.00023837460697118118,1.5948228e-05,2.1274795e-05
4,40,2,20,481,0.0006038583697371226,0.0006922682733098151,1.2791182e-05,5.772978e-05
0,80,2,20,481,0.00018699971730860688,0.00026402824953719595,3.1213527e-05,2.5643629e-05
1,80,2,20,481,0.0004993743931897671,0.0006955587478575907,3.9883653e-05,5.277925e-05
2,80,2,20,481,4.7473049066705686e-05,9.953506699950099e-05,1.2165216e-05,1.7433782e-05
3,80,2,20,481,0.00040266653552753246,0.0005646121787209468,2.8489794e-05,4.452323e-05
4,80,2,20,481,0.0005966890378976738,0.000745837415444428,3.0253437e-05,6.0638384e-05
0,160,2,20,481,0.0001086344451444567,0.00013751729763675224,2.8032231e-05,2.4179551e-05
1,160,2,20,481,6.3894542054514e-05,0.00010471283558899369,2.304723e-05,1.7820765e-05
2,160,2,20,481,2.0238734366127433e-05,3.1051536212300945e-05,2.8679027e-05,2.763093e-05
3,160,2,20,481,0.00015761331200047631,0.00022268598091101932,1.6011652e-05,1.7059217e-05
4,160,2,20,481,9.971802451812612e-05,0.00011788563674458574,1.8162107e-05,2.046932e-05
0,320,2,20,481,0.00010414314587943633,0.00018270952020915665,2.9107718e-05,2.208072e-05
1,320,2,20,481,3.405179207295233e-05,5.302819066907438e-05,8.656739e-06,5.2308214e-06
2,320,2,20,481,0.00017009449959135733,0.00020133911226971613,4.6082943e-05,4.2110056e-05
3,320,2,20,481,0.00017210949820737056,0.0002452866497447692,1.0342566e-05,1.0212791e-05
4,320,2,20,481,6.797282069888033e-05,0.00010056048631643597,6.0842594e-06,4.961716e-06
0,640,2,20,481,0.00010215536219215465,0.00013844197885659604,5.8331647e-05,4.6764537e-05
1,640,2,20,481,8.578164083087908e-05,0.00012108405463628902,2.0598745e-05,1.3907008e-05
2,640,2,20,481,1.0218885226475867e-05,2.6075928615865163e-05,2.9674606e-05,2.6867225e-05
3,640,2,20,481,0.00015989800839775288,0.00025518754307766924,1.5349126e-05,1.19616025e-05
4,640,2,20,481,2.1284533676144324e-05,4.126647297879229e-05,1.5770973e-05,1.1934101e-05
0,10,4,10,361,0.4591607261019626,0.5052937474938882,1.7997858e-06,39.422123
1,10,4,10,361,0.06620387179175188,0.10803735256195093,0.00070937007,0.46991733
2,10,4,10,361,1.409454761591033,2.0344211835466783,0.00042008187,33.176586
3,10,4,10,361,0.014070963868782172,0.023106475885636885,0.001037991,0.014487905
4,10,4,10,361,0.060348346771249596,0.08012199401855494,0.009024647,0.38432202
0,20,4,10,361,0.6181221715416438,0.6774791617497433,0.00047201253,48.13648
1,20,4,10,361,0.00957533114507781,0.0146552147116924,0.00042804255,0.02798909
2,20,4,10,361,0.022759541813288413,0.03893635930949452,3.6292422e-05,0.30364335
3,20,4,10,361,0.005375060534426599,0.009165164589973698,0.002942785,0.020260599
4,20,4,10,361,0.006011645767064712,0.00779057033868874,0.00014223835,0.0026813115
0,40,4,10,361,0.0008670602956434069,0.0012347639349794548,6.1377046e-05,0.0022261539
1,40,4,10,361,0.00020998990592847736,0.0002821349609648527,2.9716026e-05,8.892352e-05
2,40,4,10,361,1.1314581536829187,1.8521130084991453,8.112298e-05,39.47009
3,40,4,10,361,0.00024367198865992866,0.00032990191775309624,1.9193649e-05,2.9011653e-05
4,40,4,10,361,0.003594090760035199,0.004134905656801302,0.0010791348,0.0012333775
